"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 28 14:07:09 GMT 2022","Thu Jul 28 14:07:09 GMT 2022","203","","actions.spec.ts","","","","Нажатие кнопок",""
"failed","Thu Jul 28 14:07:26 GMT 2022","Thu Jul 28 14:07:26 GMT 2022","230","","video.spec.ts","","","","Нажатие кнопок (c видео)",""
"failed","Thu Jul 28 14:07:21 GMT 2022","Thu Jul 28 14:07:21 GMT 2022","202","","keyboard.spec.ts","","","","Клавиатура",""
"failed","Thu Jul 28 14:07:24 GMT 2022","Thu Jul 28 14:07:24 GMT 2022","205","","mouse.spec.ts","","","","Мышь",""
"failed","Thu Jul 28 14:07:11 GMT 2022","Thu Jul 28 14:07:12 GMT 2022","209","","actions.spec.ts","","","","Выпадающий список",""
"failed","Thu Jul 28 14:07:19 GMT 2022","Thu Jul 28 14:07:19 GMT 2022","209","","actions.spec.ts","","","","Диалоговые окна (alert, confirm, prompt)",""
"failed","Thu Jul 28 14:07:16 GMT 2022","Thu Jul 28 14:07:17 GMT 2022","210","","actions.spec.ts","","","","iFrame",""
"failed","Thu Jul 28 14:07:06 GMT 2022","Thu Jul 28 14:07:06 GMT 2022","202","","actions.spec.ts","","","","Ввод текста",""
"failed","Thu Jul 28 14:07:14 GMT 2022","Thu Jul 28 14:07:14 GMT 2022","219","","actions.spec.ts","","","","Выбор чекбоксов",""
