"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jul 28 14:11:44 GMT 2022","Thu Jul 28 14:11:45 GMT 2022","1253","","video.spec.ts","","","","Нажатие кнопок (c видео)",""
"passed","Thu Jul 28 14:11:37 GMT 2022","Thu Jul 28 14:11:38 GMT 2022","959","","actions.spec.ts","","","","Выпадающий список",""
"passed","Thu Jul 28 14:11:34 GMT 2022","Thu Jul 28 14:11:36 GMT 2022","1166","","actions.spec.ts","","","","Ввод текста",""
"passed","Thu Jul 28 14:11:42 GMT 2022","Thu Jul 28 14:11:42 GMT 2022","794","","keyboard.spec.ts","","","","Клавиатура",""
"passed","Thu Jul 28 14:11:36 GMT 2022","Thu Jul 28 14:11:37 GMT 2022","1563","","actions.spec.ts","","","","Нажатие кнопок",""
"passed","Thu Jul 28 14:11:41 GMT 2022","Thu Jul 28 14:11:42 GMT 2022","935","","actions.spec.ts","","","","Диалоговые окна (alert, confirm, prompt)",""
"passed","Thu Jul 28 14:11:39 GMT 2022","Thu Jul 28 14:11:41 GMT 2022","1625","","actions.spec.ts","","","","iFrame",""
"passed","Thu Jul 28 14:11:42 GMT 2022","Thu Jul 28 14:11:43 GMT 2022","1110","","mouse.spec.ts","","","","Мышь",""
"passed","Thu Jul 28 14:11:38 GMT 2022","Thu Jul 28 14:11:39 GMT 2022","811","","actions.spec.ts","","","","Выбор чекбоксов",""
